Customer Order,Dist.Chl.Name,Material Group,FG Type,FG Type Desc.,Construction,Fabrication,Design Source,Business Source,Customer Group,Customer,Gender,Global Style,FG SKU,Cust.Color Code,Season,Season Year,Size,Sales Unit,FOB,Total FOB,SO Doc.Currency,Destination,Req.Delivery Date,RM In Date,Planned Cut Date,Original Ex.Factory Date,Revised Ex.Factory Date,Program Type,Program Type Desc.,Pack Qty
867578210,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TU9100,TU9100001,NAVY,WI24,2024,S,PC,8.26,66.08,USD,Africa,1/12/24,12/5/23,12/12/23,1/26/24,1/12/24,R01,REGULAR,25
867559080,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ8537GL,TJ8537GL002,BTNG/BB,SA24,2024,JS,PC,3.451,182.903,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867546212,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,BUSINESS TEAM,REGULAR,Fashion UK,Reebok,MENS,SHB06835,SHB06835121,KHKI,SS24,2024,2XL,PC,2.793,558.6,USD,SL ,11/15/23,9/19/23,9/25/23,11/6/23,11/6/23,F01,FASHION,20
867563566,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3493,TM3493223,PECT,SA24,2024,S,PC,4.2,25.2,USD,Africa,2/9/24,1/10/24,1/17/24,2/9/24,2/9/24,R01,REGULAR,25
867575617,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8537FCZ,TM8537FCZ006,AQR/BP,SA24,2024,2XL,PC,3.71,742,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867563551,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3493,TM3493208,PCT,SA24,2024,S,PC,4.2,315,USD,Africa,3/29/24,11/28/23,12/5/23,2/2/24,3/29/24,R01,REGULAR,25
867576951,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8544FCZ,TM8544FCZ004,CAV,SA24,2024,L,PC,9.716,136.024,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867536457,Bulk,PACKING,SING,Single,KNIT,SYNTHETIC,BUSINESS TEAM,REGULAR,Clubs,Uniqlo,WOMENS,361K4SW,361K4SW008,19,AW23,2023,M,PC,4.48,134.4,USD,Africa,5/19/23,5/12/23,5/8/23,5/9/23,5/26/23,R01,REGULAR,50
867573303,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM7324,TM7324002,MICR CHP/C,SA24,2024,M,PC,10.934,21.868,USD,Africa,3/29/24,1/9/24,1/16/24,2/16/24,3/29/24,R01,REGULAR,25
867574591,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8162NS,TM8162NS013,ELYE/EBNY,SA24,2024,M,PC,9.919,39.676,USD,Africa,3/29/24,2/29/24,3/8/24,3/29/24,3/29/24,R01,REGULAR,25
867558570,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ7311,TJ7311001,MICR CHP/C,SA24,2024,JXS,PC,6.475,369.075,USD,Africa,2/23/24,1/9/24,1/16/24,2/16/24,2/23/24,R01,REGULAR,25
867561082,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2403,TM2403162,PCT,AW23,2023,M,PC,5.467,246.015,USD,Africa,12/1/23,10/26/23,11/1/23,12/1/23,12/5/23,R01,REGULAR,25
867542988,Bulk,SINGLE,SING,Single,KNIT,COTTON,BUSINESS TEAM,REGULAR,Fashion UK,Reebok,MENS,K1H00125,K1H00125014,WHT,SS24,2024,M,PC,1.841,165.69,USD,SL ,11/30/23,9/26/23,10/2/23,10/20/23,11/24/23,F01,FASHION,20
867563695,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3496,TM3496014,CAV,SS23,2023,M,PC,4.795,776.79,USD,Africa,6/6/23,4/10/23,4/17/23,5/12/23,5/12/23,R01,REGULAR,10
867553200,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF8544FCZ,TF8544FCZ011,PEC/BP,SA24,2024,14,PC,9.422,94.22,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867550319,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF6805,TF6805001,CAV/DAPRL,SA24,2024,8,PC,5.243,10.486,USD,Africa,12/18/23,10/10/23,10/17/23,12/2/23,12/22/23,R01,REGULAR,25
867545746,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,BUSINESS TEAM,REGULAR,Fashion UK,Reebok,MENS,SBS21675,SBS21675012,GRML,SS24,2024,M,PC,4.172,3224.956,USD,SL ,3/15/24,1/30/24,1/22/24,2/23/24,3/15/24,F01,FASHION,20
867570588,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM7094,TM7094058,PP/DRK FRS,SA24,2024,4XL,PC,4.361,61.054,USD,Africa,3/29/24,2/29/24,3/6/24,3/29/24,3/29/24,R01,REGULAR,25
867554453,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ2403-UB,TJ2403-UB001,CAV,SP23,2023,JS,PC,4.879,121.975,USD,Africa,8/10/23,7/6/23,8/17/23,8/10/23,8/10/23,R01,REGULAR,0
867554373,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ2402PFAINS,TJ2402PFAINS001,BTGDN,SS23,2023,JL,PC,3.486,104.58,USD,Africa,5/12/23,2/10/23,2/17/23,3/6/23,5/12/23,R01,REGULAR,10
867542748,Bulk,SINGLE,SING,Single,KNIT,COTTON,TECH PACK,REGULAR,Workwear,Calvin Klein,WOMENS,FL44R,FL44R027,P2W,FA23,2023,2X,PC,4.067,300.958,USD,SL ,4/20/23,2/22/23,3/1/23,4/18/23,4/18/23,R01,REGULAR,10
