Customer Order,Dist.Chl.Name,Material Group,FG Type,FG Type Desc.,Construction,Fabrication,Design Source,Business Source,Customer Group,Customer,Gender,Global Style,FG SKU,Cust.Color Code,Season,Season Year,Size,Order Qty,Sales Unit,FOB,Total FOB,SO Doc.Currency,Destination,Req.Delivery Date,RM In Date,Planned Cut Date,Original Ex.Factory Date,Revised Ex.Factory Date,Program Type,Program Type Desc.,Pack Qty,Production Lead Time,Revised Original Date Difference,Order Day,Order Year,Order Month
867536007,0,1,4,4,0,0,1,0,6,0,5,0,0,155,11,2024,93,66,1,5.627999999999999,371.4479999999999,0,1,1710374400.0,1705276800.0,1705881600.0,1710201600.0,1710201600.0,1,1,10,50,0,14,2024,3
867536008,0,1,4,4,0,0,1,0,6,0,5,0,1,155,11,2024,92,709,1,5.627999999999999,3990.251999999999,0,1,1710374400.0,1705276800.0,1705881600.0,1710201600.0,1710201600.0,1,1,10,50,0,14,2024,3
867536009,0,1,4,4,0,0,1,0,6,0,5,0,2,155,11,2024,89,1970,1,5.627999999999999,11087.159999999998,0,1,1710374400.0,1705276800.0,1705881600.0,1710201600.0,1710201600.0,1,1,10,50,0,14,2024,3
867536011,0,1,4,4,0,0,1,0,6,0,5,0,3,155,11,2024,95,1149,1,5.627999999999999,6466.571999999999,0,1,1710374400.0,1705276800.0,1705881600.0,1710201600.0,1710201600.0,1,1,10,50,0,14,2024,3
867536013,0,1,4,4,0,0,1,0,6,0,5,0,4,155,11,2024,36,630,1,5.627999999999999,3545.6399999999994,0,1,1710374400.0,1705276800.0,1705881600.0,1710201600.0,1710201600.0,1,1,10,50,0,14,2024,3
867536026,0,1,4,4,0,0,1,0,6,0,5,1,11,155,5,2024,33,1835,1,3.947999999999999,7244.579999999999,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536023,0,1,4,4,0,0,1,0,6,0,5,1,8,155,5,2024,36,276,1,4.599,1269.324,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536025,0,1,4,4,0,0,1,0,6,0,5,1,10,155,5,2024,45,1008,1,3.947999999999999,3979.5839999999994,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536044,0,1,4,4,0,0,1,0,6,0,5,1,28,155,5,2024,48,40,1,4.599,183.96,0,1,1710979200.0,1707696000.0,1708300800.0,1708992000.0,1710806400.0,1,1,10,8,21,21,2024,3
867536024,0,1,4,4,0,0,1,0,6,0,5,1,9,155,5,2024,56,1132,1,3.947999999999999,4469.1359999999995,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536020,0,1,4,4,0,0,1,0,6,0,5,1,5,155,5,2024,89,178,1,3.3949999999999996,604.31,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536027,0,1,4,4,0,0,1,0,6,0,5,1,12,155,5,2024,90,1932,1,3.947999999999999,7627.535999999999,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536028,0,1,4,4,0,0,1,0,6,0,5,1,13,254,5,2024,92,53,1,3.3949999999999996,179.93499999999997,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
