Customer Order,Dist.Chl.Name,Material Group,FG Type,FG Type Desc.,Construction,Fabrication,Design Source,Business Source,Customer Group,Customer,Gender,Global Style,FG SKU,Cust.Color Code,Season,Season Year,Size,Order Qty,Sales Unit,FOB,Total FOB,SO Doc.Currency,Destination,Req.Delivery Date,RM In Date,Planned Cut Date,Original Ex.Factory Date,Revised Ex.Factory Date,Program Type,Program Type Desc.,Pack Qty
867578210,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TU9100,TU9100001,NAVY,WI24,2024,S,8,PC,8.26,66.08,USD,Africa,2024-01-12,2023-12-05,2023-12-12,2024-01-26,2024-01-12,R01,REGULAR,25
867559080,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ8537GL,TJ8537GL002,BTNG/BB,SA24,2024,JS,53,PC,3.4509999999999996,182.903,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867546212,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,BUSINESS TEAM,REGULAR,Fashion UK,Reebok,MENS,SHB06835,SHB06835121,KHKI,SS24,2024,2XL,200,PC,2.793,558.6,USD,SL ,2023-11-15,2023-09-19,2023-09-25,2023-11-06,2023-11-06,F01,FASHION,20
867563566,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3493,TM3493223,PECT,SA24,2024,S,6,PC,4.199999999999999,25.199999999999996,USD,Africa,2024-02-09,2024-01-10,2024-01-17,2024-02-09,2024-02-09,R01,REGULAR,25
867575617,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8537FCZ,TM8537FCZ006,AQR/BP,SA24,2024,2XL,200,PC,3.709999999999999,741.9999999999999,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867563551,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3493,TM3493208,PCT,SA24,2024,S,75,PC,4.199999999999999,314.99999999999994,USD,Africa,2024-03-29,2023-11-28,2023-12-05,2024-02-02,2024-03-29,R01,REGULAR,25
867576951,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8544FCZ,TM8544FCZ004,CAV,SA24,2024,L,14,PC,9.716,136.024,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867536457,Bulk,PACKING,SING,Single,KNIT,SYNTHETIC,BUSINESS TEAM,REGULAR,Clubs,Uniqlo,WOMENS,361K4SW,361K4SW008,019,AW23,2023,M,30,PC,4.4799999999999995,134.39999999999998,USD,Africa,2023-05-19,2023-05-12,2023-05-08,2023-05-09,2023-05-26,R01,REGULAR,50
867573303,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM7324,TM7324002,MICR CHP/C,SA24,2024,M,2,PC,10.934,21.868,USD,Africa,2024-03-29,2024-01-09,2024-01-16,2024-02-16,2024-03-29,R01,REGULAR,25
867574591,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8162NS,TM8162NS013,ELYE/EBNY,SA24,2024,M,4,PC,9.919,39.675999999999995,USD,Africa,2024-03-29,2024-02-29,2024-03-08,2024-03-29,2024-03-29,R01,REGULAR,25
867558570,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ7311,TJ7311001,MICR CHP/C,SA24,2024,JXS,57,PC,6.475,369.075,USD,Africa,2024-02-23,2024-01-09,2024-01-16,2024-02-16,2024-02-23,R01,REGULAR,25
867561082,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2403,TM2403162,PCT,AW23,2023,M,45,PC,5.467,246.015,USD,Africa,2023-12-01,2023-10-26,2023-11-01,2023-12-01,2023-12-05,R01,REGULAR,25
867542988,Bulk,SINGLE,SING,Single,KNIT,COTTON,BUSINESS TEAM,REGULAR,Fashion UK,Reebok,MENS,K1H00125,K1H00125014,WHT,SS24,2024,M,90,PC,1.8409999999999995,165.68999999999997,USD,SL ,2023-11-30,2023-09-26,2023-10-02,2023-10-20,2023-11-24,F01,FASHION,20
